trial,trial1pin,trial1resp,trial2pin,trial2resp,test1pin,test1resp,test2pin,test2resp,test3pin,test3resp,test4pin,test4resp,seqBroken
1,0,8,1,9,0,8,1,9,0,8,1,9,num_6
2,0,8,1,9,0,8,1,9,1,9,0,8,num_4
3,0,8,2,10,0,8,2,10,0,8,2,10,num_6
4,0,8,2,10,0,8,2,10,2,10,0,8,num_4
5,1,9,0,8,1,9,0,8,1,9,0,8,num_6
6,1,9,0,8,1,9,0,8,0,8,1,9,num_4
7,1,9,3,11,1,9,3,11,1,9,3,11,num_6
8,1,9,3,11,1,9,3,11,3,11,1,9,num_4
9,2,10,0,8,2,10,0,8,2,10,0,8,num_6
10,2,10,0,8,2,10,0,8,0,8,2,10,num_4
11,2,10,3,11,2,10,3,11,2,10,3,11,num_6
12,2,10,3,11,2,10,3,11,3,11,2,10,num_4
13,3,11,1,9,3,11,1,9,3,11,1,9,num_6
14,3,11,1,9,3,11,1,9,1,9,3,11,num_4
15,3,11,2,10,3,11,2,10,3,11,2,10,num_6
16,3,11,2,10,3,11,2,10,2,10,3,11,num_4
17,0,8,1,9,0,8,1,9,0,8,1,9,num_6
18,0,8,1,9,0,8,0,8,1,9,1,9,num_4
19,0,8,2,10,0,8,2,10,0,8,2,10,num_6
20,0,8,2,10,0,8,0,8,2,10,2,10,num_4
21,1,9,0,8,1,9,0,8,1,9,0,8,num_6
22,1,9,0,8,1,9,1,9,0,8,0,8,num_4
23,1,9,3,11,1,9,3,11,1,9,3,11,num_6
24,1,9,3,11,1,9,1,9,3,11,3,11,num_4
25,2,10,0,8,2,10,0,8,2,10,0,8,num_6
26,2,10,0,8,2,10,2,10,0,8,0,8,num_4
27,2,10,3,11,2,10,3,11,2,10,3,11,num_6
28,2,10,3,11,2,10,2,10,3,11,3,11,num_4
29,3,11,1,9,3,11,1,9,3,11,1,9,num_6
30,3,11,1,9,3,11,3,11,1,9,1,9,num_4
31,3,11,2,10,3,11,2,10,3,11,2,10,num_6
32,3,11,2,10,3,11,3,11,2,10,2,10,num_4
